# source http://cdsarc.u-strasbg.fr/viz-bin/qcat?J/A+A/578/A110#sRM-F.62
# PairID, IDinpair, RAdeg, DECdeg, z
 136 1   5.13606  15.34736 0.04031
 136 2   5.21394  15.42025 0.04039
 137 1 152.46336   3.54735 0.03201
 137 2 152.53157   3.52514 0.03199
 138 1 157.90785   3.76603 0.04559
 138 2 157.96178   3.76466 0.04583
 139 1 155.60170   3.99735 0.02286
 139 2 155.58585   3.96161 0.02318
 140 1 156.11974   4.67976 0.04520
 140 2 156.08655   4.67894 0.04536
 141 1 180.81802   1.63546 0.04772
 141 2 180.83214   1.67292 0.04757
 142 1 181.16438   1.76920 0.07796
 142 2 181.13026   1.71198 0.07795
 143 1 187.24352   2.19087 0.07780
 143 2 187.30602   2.21493 0.07728
 144 1 180.49304   3.33672 0.04507
 144 2 180.38586   3.29544 0.04500
 145 1 337.66754  -8.52938 0.05571
 145 2 337.62537  -8.53750 0.05616
 146 1 349.24170 -10.49948 0.04203
 146 2 349.28024 -10.49149 0.04190
 147 1 133.22913   3.15233 0.03454
 147 2 133.20653   3.13998 0.03475
 148 1 131.66885   2.40802 0.01325
 148 2 131.65459   2.82703 0.01321
 149 1 147.51562  54.48483 0.03176
 149 2 147.57854  54.46887 0.03172
 150 1 251.27954  42.14023 0.05880
 150 2 251.36288  42.07935 0.05884
 151 1 251.02167  43.00880 0.02793
 151 2 251.00429  42.87571 0.02777
 152 1 166.36690   2.56212 0.03640
 152 2 166.30042   2.45703 0.03646
 153 1 162.91888   3.21950 0.05652
 153 2 162.92946   3.21136 0.05677
 154 1  12.19591  15.70894 0.07427
 154 2  12.17308  15.68640 0.07450
 155 1 216.40871   1.60043 0.03858
 155 2 216.34631   1.72466 0.03903
 156 1 218.20944   1.54248 0.02707
 156 2 218.06604   1.45705 0.02744
 157 1 211.53917   2.33117 0.02470
 157 2 211.50932   2.35639 0.02467
 158 1  10.12107 -10.30550 0.02702
 158 2  10.04397 -10.44061 0.02720
 159 1 123.00310  39.01253 0.04120
 159 2 123.06007  39.04871 0.04070
 160 1 121.92536  39.81715 0.06842
 160 2 121.92594  39.81152 0.06861
 161 1 234.80873   1.19490 0.03094
 161 2 234.77826   1.22271 0.03087
 162 1 235.79428   1.32884 0.03976
 162 2 235.76410   1.32030 0.03975
 163 1 236.07170   2.11186 0.03315
 163 2 236.09174   2.04697 0.03316
 164 1 235.59117   2.46747 0.03178
 164 2 235.71608   2.40859 0.03201
 165 1 177.62814  65.74100 0.05479
 165 2 177.56737  65.64240 0.05503
 166 1 182.44714  58.84919 0.00633
 166 2 182.24469  58.79212 0.00644
 167 1 209.09059   4.60169 0.03380
 167 2 209.09174   4.61963 0.03387
 168 1 208.62035   5.44338 0.05219
 168 2 208.62805   5.46248 0.05216
 169 1 166.14445   4.58765 0.02916
 169 2 166.22296   4.55531 0.02873
 170 1 133.64240  50.76559 0.04440
 170 2 133.58954  50.79462 0.04424
 171 1 232.20355   4.27899 0.04204
 171 2 232.24728   4.32299 0.04235
 172 1 141.58295  50.57089 0.04763
 172 2 141.53909  50.59436 0.04786
 173 1 146.99348  54.01472 0.02490
 173 2 147.09494  54.00760 0.02510
 174 1 139.73988  51.37065 0.01379
 174 2 139.74937  51.32339 0.01375
 175 1 153.96875   0.08833 0.07160
 175 2 153.98044   0.02281 0.07137
 176 1 232.64127  -1.23976 0.07746
 176 2 232.64001  -1.29786 0.07709
 177 1 245.10054  46.28337 0.01956
 177 2 245.04893  46.33795 0.01920
 178 1 257.99210  33.95702 0.03848
 178 2 258.02805  33.96173 0.03892
 179 1 157.98395  59.98191 0.05069
 179 2 157.82672  59.92262 0.05087
 180 1 257.55304  30.30821 0.03070
 180 2 257.49203  30.26019 0.03119
 181 1 258.05688  30.16784 0.03053
 181 2 258.14362  30.09059 0.03076
 182 1 259.72269  30.19339 0.01483
 182 2 259.70511  30.17040 0.01477
 183 1 222.56001   6.50809 0.04396
 183 2 222.61505   6.62037 0.04409
 184 1 224.24568  -2.11446 0.02311
 184 2 224.13812  -2.10641 0.02313
 185 1 225.73087  -2.18634 0.03661
 185 2 225.78922  -2.20479 0.03642
 186 1 217.93073  -1.23882 0.03634
 186 2 218.06242  -1.17295 0.03608
 187 1 222.60046   4.61537 0.04681
 187 2 222.55424   4.52766 0.04684
 188 1 170.36366   1.53113 0.04809
 188 2 170.35196   1.64009 0.04814
 189 1 205.05206  61.38424 0.03599
 189 2 205.15311  61.38233 0.03557
 190 1 204.22038  60.79601 0.03108
 190 2 204.32121  60.84076 0.03126
 191 1 212.61986  59.25970 0.04257
 191 2 212.55429  59.25652 0.04283
 192 1 211.25345  60.39208 0.03596
 192 2 211.32578  60.43171 0.03588
 193 1 168.30534  55.55581 0.04928
 193 2 168.23030  55.49131 0.04976
 194 1 118.55187  36.65658 0.02816
 194 2 118.51504  36.66343 0.02802
 195 1 137.02414  49.91084 0.05178
 195 2 137.02002  49.87750 0.05186
 196 1 174.36876   4.18916 0.07529
 196 2 174.33556   4.20089 0.07494
 197 1   6.12988  -0.92287 0.03343
 197 2   6.20134  -0.94389 0.03331
 198 1   4.22883  -0.08822 0.03289
 198 2   4.28096  -0.14172 0.03310
 199 1   8.78563  -0.13369 0.03022
 199 2   8.92134  -0.20381 0.03018
 200 1 198.53439  62.20943 0.03688
 200 2 198.64259  62.13165 0.03664
 201 1 198.69026  62.06598 0.04572
 201 2 198.67055  62.03771 0.04563
 202 1 198.30844  61.04837 0.04289
 202 2 198.30205  60.98164 0.04300
 203 1 194.29094  62.32508 0.03702
 203 2 194.14951  62.35255 0.03684
 204 1 205.84941  60.94273 0.07365
 204 2 205.92729  60.94664 0.07328
 205 1 206.10014  58.76091 0.04069
 205 2 206.12570  58.85714 0.04066
 206 1 200.77553   5.84288 0.05548
 206 2 200.81192   5.81605 0.05531
 207 1   4.67786  15.19517 0.03716
 207 2   4.75128  15.11972 0.03684
 208 1 138.30576   3.23050 0.01265
 208 2 138.17876   3.66116 0.01258
 209 1 146.66226   4.31377 0.06644
 209 2 146.58389   4.29221 0.06648
 210 1 223.74927  62.27594 0.02171
 210 2 223.91139  62.31750 0.02153
 211 1 234.70380  49.56833 0.03761
 211 2 234.73610  49.62477 0.03776
 212 1 116.83570  29.41293 0.06254
 212 2 116.89387  29.39906 0.06218
 213 1 189.12056  52.39294 0.04626
 213 2 189.16214  52.39469 0.04643
 214 1 120.33140  29.17938 0.04114
 214 2 120.26492  29.30758 0.04141
 215 1 123.93774  31.56195 0.03964
 215 2 123.90005  31.44627 0.03960
 216 1 164.11017  60.69213 0.02952
 216 2 163.98569  60.65468 0.02982
 217 1 174.91705  62.60099 0.03277
 217 2 174.83998  62.57548 0.03296
 218 1 172.47015   4.13518 0.06769
 218 2 172.50044   4.13883 0.06805
 219 1 168.47182   4.80173 0.02062
 219 2 168.57513   4.70981 0.02064
 220 1 181.56129  61.90726 0.03280
 220 2 181.39265  61.92265 0.03301
 221 1 182.41539  62.85505 0.04436
 221 2 182.37267  62.87796 0.04408
 222 1 184.43198  62.63253 0.04377
 222 2 184.50790  62.65123 0.04413
 223 1 195.77464   3.99189 0.00955
 223 2 195.70483   3.97675 0.00955
 224 1 197.58327   4.30023 0.06667
 224 2 197.62125   4.37145 0.06675
 225 1 194.58815   4.88565 0.03617
 225 2 194.54785   4.90807 0.03575
 226 1 196.31357   4.87618 0.04412
 226 2 196.31256   4.87426 0.04409
 227 1 196.31345   5.21573 0.04345
 227 2 196.39850   5.19678 0.04380
 228 1 190.26083   5.69585 0.04874
 228 2 190.21231   5.60844 0.04862
 229 1 189.13435   6.16961 0.03951
 229 2 189.25409   6.10955 0.03956
 230 1   8.74156  -9.34220 0.02316
 230 2   8.76212  -9.36843 0.02299
 231 1   9.95159  -9.14294 0.03748
 231 2   9.81751  -9.07272 0.03728
 232 1  14.44336  -9.21893 0.02570
 232 2  14.43197  -9.11234 0.02565
 233 1 172.77614   3.13067 0.02866
 233 2 172.80330   3.25974 0.02894
 234 1 163.02559   3.37229 0.03552
 234 2 163.00766   3.45402 0.03555
 235 1 206.63391  64.39030 0.02418
 235 2 206.66283  64.40586 0.02395
 236 1 139.64766  44.59690 0.01421
 236 2 139.99725  44.62206 0.01413
 237 1 141.18077  48.28677 0.02641
 237 2 141.17957  48.23960 0.02645
 238 1 141.15720  49.35707 0.01626
 238 2 141.19025  49.44482 0.01637
 239 1 224.03514   3.78821 0.03436
 239 2 224.01242   3.79827 0.03390
 240 1 209.60521  59.14873 0.05151
 240 2 209.58664  59.20575 0.05181
 241 1  23.68908  -0.99488 0.04435
 241 2  23.70312  -1.02126 0.04479
 242 1 180.32953  56.57017 0.04139
 242 2 180.09789  56.61919 0.04106
 243 1 178.43130  57.66433 0.03414
 243 2 178.45435  57.66515 0.03447
 244 1 180.44576  58.11983 0.04097
 244 2 180.46017  58.09805 0.04071
 245 1 122.77895  36.59870 0.02149
 245 2 122.73383  36.82933 0.02141
 246 1 117.11645  30.06909 0.06265
 246 2 117.11481  30.03196 0.06256
 247 1 173.08078  55.92277 0.02072
 247 2 173.07834  55.92802 0.02095
 248 1 174.24681  56.59351 0.05076
 248 2 174.29034  56.48912 0.05117
 249 1 173.09334  57.25487 0.02875
 249 2 173.09232  57.26788 0.02836
 250 1 170.52768  57.91259 0.01059
 250 2 170.68608  57.44142 0.01034
 251 1 158.72397  60.69115 0.05041
 251 2 158.65166  60.66083 0.05033
 252 1 341.09543  -9.01943 0.06455
 252 2 341.02573  -9.02702 0.06505
 253 1 172.13922  58.56284 0.01046
 253 2 172.12833  58.56186 0.00999
 254 1 164.74159  58.13369 0.03192
 254 2 164.78308  58.09318 0.03220
 255 1 170.53835  59.65821 0.05971
 255 2 170.65498  59.58178 0.05983
 256 1 246.76065  43.47610 0.04623
 256 2 246.77930  43.43645 0.04637
 257 1 184.40771  51.81918 0.04225
 257 2 184.42108  51.90028 0.04197
 258 1 185.14841  52.25762 0.02829
 258 2 185.32640  52.20100 0.02860
 259 1 232.12579   5.18592 0.03315
 259 2 232.10008   5.26218 0.03306
 260 1 229.95494   5.79676 0.04127
 260 2 229.93539   5.74558 0.04150
 261 1 120.54278  35.66725 0.04452
 261 2 120.63255  35.67414 0.04483
 262 1 120.71150  35.77355 0.04051
 262 2 120.63413  35.86435 0.04024
 263 1 115.17767  23.62623 0.02449
 263 2 115.25465  23.73583 0.02464
 264 1 178.37027  59.69909 0.03490
 264 2 178.29030  59.75174 0.03497
 265 1 325.96378  -0.32141 0.02674
 265 2 325.91156  -0.35450 0.02657
 266 1 185.81847  57.48425 0.03267
 266 2 185.83969  57.60474 0.03229
 267 1 139.88797   5.88276 0.03382
 267 2 139.94189   5.80897 0.03380
 268 1 141.00456   5.20940 0.02794
 268 2 140.98276   5.18500 0.02767
 269 1 229.86203  -0.92389 0.02962
 269 2 229.85687  -0.90521 0.02975
 270 1 169.53523  54.84122 0.00632
 270 2 170.87070  54.33746 0.00596
 271 1 214.23657  45.64328 0.04101
 271 2 214.16815  45.61787 0.04135
 272 1 214.27554  45.61708 0.07197
 272 2 214.30141  45.56607 0.07203
 273 1 355.49066  15.23537 0.02561
 273 2 355.48172  15.22944 0.02529
 274 1 225.67578   6.17283 0.03633
 274 2 225.71895   6.09419 0.03600
 275 1 349.60583  14.93854 0.05003
 275 2 349.59027  14.93504 0.05014
 276 1 184.07809   9.74702 0.04726
 276 2 184.14798   9.67859 0.04695
 277 1 182.90210  60.06260 0.06302
 277 2 182.83054  59.97658 0.06300
 278 1 167.73697  53.38777 0.00950
 278 2 168.46022  53.08641 0.00954
 279 1 262.00592  57.52183 0.01116
 279 2 261.54932  57.16937 0.01128
 280 1 217.70529  -2.07814 0.03388
 280 2 217.68166  -2.03681 0.03391
 281 1 179.14423  53.97424 0.05185
 281 2 179.03998  54.01932 0.05192
 282 1 175.79268  54.20096 0.07570
 282 2 175.78575  54.19743 0.07592
 283 1 182.97786  58.63706 0.03258
 283 2 182.77745  58.52036 0.03307
 284 1 119.97742  24.41043 0.06105
 284 2 119.97704  24.41633 0.06088
 285 1 119.82165  24.45205 0.01945
 285 2 119.95401  24.30301 0.01924
 286 1 228.29666  38.48878 0.03876
 286 2 228.28987  38.51494 0.03926
 287 1 164.19276   6.85318 0.05232
 287 2 164.09599   6.91012 0.05263
 288 1 167.85284   7.00992 0.04053
 288 2 167.82501   6.94711 0.04030
 289 1   1.09099   1.08917 0.06102
 289 2   1.05771   1.00118 0.06070
 290 1 186.29994  54.50618 0.00841
 290 2 186.17752  54.74485 0.00832
 291 1 164.65652   9.05045 0.00875
 291 2 164.39244   9.21482 0.00895
 292 1 168.48140   9.64281 0.04122
 292 2 168.45451   9.63215 0.04093
 293 1 164.77945  10.01250 0.06828
 293 2 164.79387  10.02153 0.06806
 294 1 171.81242  10.32236 0.05368
 294 2 171.82249  10.37277 0.05340
 295 1 172.18047  10.12729 0.05413
 295 2 172.19449  10.09846 0.05391
 296 1 157.93767  46.67170 0.02476
 296 2 157.90578  46.66175 0.02495
 297 1 170.23141   7.19753 0.03706
 297 2 170.33545   7.18831 0.03706
 298 1 171.90649   8.08430 0.06395
 298 2 171.92239   8.08443 0.06387
 299 1 173.01544   8.42503 0.04126
 299 2 172.99074   8.32817 0.04134
 300 1 156.00734  44.84175 0.02943
 300 2 155.99387  44.82576 0.02960
 301 1 179.27019  52.81768 0.03560
 301 2 179.35759  52.87645 0.03550
 302 1 184.28349  51.99877 0.04708
 302 2 184.16006  51.90974 0.04708
 303 1 133.97162   4.37502 0.03394
 303 2 133.93909   4.35344 0.03399
 304 1 132.79707   5.07195 0.02840
 304 2 132.84225   5.04640 0.02828
 305 1 132.09662   4.38761 0.03549
 305 2 132.03241   4.40038 0.03551
 306 1 136.29930   4.89271 0.05799
 306 2 136.25578   4.90675 0.05787
 307 1  37.71356   0.78874 0.07066
 307 2  37.67856   0.75862 0.07049
 308 1  41.86672   0.65194 0.04466
 308 2  41.99654   0.62480 0.04485
 309 1 127.28209  38.23829 0.04102
 309 2 127.33972  38.19331 0.04094
 310 1 151.95792  55.39600 0.04736
 310 2 151.98392  55.33194 0.04749
 311 1 169.61366  57.58860 0.04623
 311 2 169.66023  57.62460 0.04606
 312 1 169.93965  57.84574 0.04426
 312 2 169.68787  57.82466 0.04446
 313 1 161.15929  56.36967 0.02405
 313 2 160.95512  56.28130 0.02403
 314 1 196.34555   4.64538 0.04686
 314 2 196.33701   4.64119 0.04712
 315 1 256.10272  33.37589 0.02964
 315 2 256.23080  33.37335 0.02964
 316 1 257.40173  34.11074 0.03540
 316 2 257.52637  34.12149 0.03573
 317 1 255.38568  33.05224 0.06204
 317 2 255.42166  33.08409 0.06213
 318 1 135.80759  41.83449 0.04017
 318 2 135.89406  41.71012 0.04052
 319 1 129.58395  32.94443 0.03142
 319 2 129.63400  32.93780 0.03127
 320 1 177.67653  10.52136 0.03463
 320 2 177.70972  10.47623 0.03482
 321 1 134.02467  37.79641 0.04269
 321 2 134.06323  37.75583 0.04229
 322 1 134.28299  38.13615 0.04221
 322 2 134.30063  38.17604 0.04198
 323 1 156.19412  48.43980 0.02526
 323 2 156.18208  48.41101 0.02513
 324 1 155.22365  48.52342 0.05315
 324 2 155.21631  48.51941 0.05291
 325 1 136.71411  37.64287 0.02832
 325 2 136.80475  37.71642 0.02847
 326 1 137.66533  38.64016 0.04702
 326 2 137.67326  38.62127 0.04746
 327 1 134.63768  37.08651 0.04288
 327 2 134.64154  37.09024 0.04295
 328 1 134.63939  37.14957 0.05848
 328 2 134.65450  37.06759 0.05844
 329 1 135.03191  37.41188 0.06053
 329 2 135.03398  37.41673 0.06091
 330 1 250.20102  36.96050 0.06337
 330 2 250.14523  36.92945 0.06296
 331 1   6.98997  -0.06128 0.04608
 331 2   6.90948  -0.09039 0.04605
 332 1 164.95726  49.56791 0.03242
 332 2 164.75177  49.56923 0.03242
