#"Cosmicflows-3 Distances" "Cosmicflows-3 Distances" "Cosmicflows-3 Distances" "Cosmicflows-3 Distances" "Cosmicflows-3 Distances" "Cosmicflows-3 Distances" "Cosmicflows-3 Distances"
#pgc Dist Nd RAJ DeJ Ks Vcmb Vmod
#%7s %6.2f %1d %8s %9s %5.2f %5d %5d
#--- Mpc  hms damas mag km/s km/s
#"The Catalogue of Principal Galaxies (PGC) Number" "Luminosity distance (weighted average if more than one source)" "Number of distance sources" "Right Ascension (J2000)" "Declination (J2000)" "2MASS Ks magnitude, extinction corrected from Huchra et al. 2012 or else Lavaux-Hudson 2011" "Velocity in CMB standard of rest (Fixsen et al. 1996)" "Velocity in CMB standard of rest adjusted in accordance with a cosmological model with Omega_matter=0.27 and Omega_Lambda=0.73"
70761 49.66 1 231412.7 +133454 0.00 4272 4321
70765 56.49 1 231413.2 +132535 10.58 4348 4398
70773 61.09 1 231417.2 -095010 0.00 3032 3056
70774 111.69 1 231418.7 +310722 0.00 6646 6763
70778 105.20 1 231422.1 -020201 0.00 7435 7580
70786 39.08 2 231434.5 +042953 10.26 2303 2317
70790 102.80 1 231434.2 +063321 11.39 5997 6092
70793 100.93 1 231442.2 +311903 0.00 6700 6819
70794 163.68 1 231447.0 +145340 0.00 11611 11965
70795 31.77 3 231443.8 +043202 8.33 2307 2322
70799 66.37 1 231447.9 +074306 0.00 4353 4403
70800 26.30 2 231448.4 -433559 8.59 1362 1367
70803 34.36 2 231445.2 +052446 0.00 3269 3298
70804 80.54 1 231449.9 -001429 0.00 7096 7229
70811 108.14 1 231457.0 -021157 0.00 6714 6833
70818 68.87 1 231502.7 +012607 11.47 4593 4649
70823 141.91 2 231508.8 +305647 11.57 6518 6630
70827 172.19 1 231512.0 -444412 11.78 12773 13201
70831 119.67 1 231514.2 -011432 0.00 7155 7290
70832 64.57 1 231517.2 +190229 0.00 4322 4372
70833 106.17 1 231517.4 -212159 0.00 7301 7441
70837 110.15 1 231521.1 +160233 0.00 11646 12002
70843 131.83 1 231538.4 +071842 0.00 9845 10100
70847 92.04 1 231543.8 +250539 11.75 7749 7908
70848 82.79 1 231539.3 +245354 0.00 7650 7804
70851 80.54 1 231543.2 +002501 11.58 8293 8474
70871 172.98 1 231548.6 +155312 0.00 11814 12180
70874 59.16 1 231557.5 +064114 8.36 3169 3196
70880 37.84 2 231601.3 +063908 0.00 3142 3168
70892 124.17 1 231625.0 +242948 11.47 8069 8241
70894 28.58 1 231628.3 +183344 0.00 1700 1707
70902 111.17 1 231638.5 +155351 11.44 7247 7385
70927 49.43 2 231705.5 +070722 0.00 3221 3249
70937 89.13 1 231715.4 +184339 0.00 11724 12085
70949 117.49 1 231721.5 +182524 0.00 12875 13310
70953 70.79 1 231725.7 -013510 11.46 3832 3871
70966 37.33 2 231739.5 -344726 10.94 2468 2485
70974 39.63 1 231751.9 +072548 0.00 3383 3413
70981 57.54 2 231757.0 +112056 11.15 3758 3796
70984 118.58 1 231759.1 +094048 10.22 8392 8577
70990 80.91 1 231808.4 -002326 0.00 8417 8604
70991 146.55 1 231814.0 +101753 10.79 10499 10789
70995 123.59 1 231815.7 +001540 11.39 8566 8759
70996 59.43 2 231816.3 +063508 9.68 4583 4639
70997 163.68 1 231819.4 -211029 11.03 8735 8936
71001 22.49 1 231823.2 -422212 7.41 1367 1372
71002 150.66 1 231825.4 +200948 0.00 7191 7327
71003 48.75 1 231828.8 +771912 0.00 2313 2327
71006 162.18 1 231830.3 +184121 10.52 11206 11536
71007 126.47 1 231830.9 -682937 0.00 8516 8707
71011 161.44 1 231833.2 +184458 11.27 10981 11298
71019 161.44 1 231843.6 +184153 11.01 10604 10900
71021 164.44 1 231846.4 -102357 0.00 9157 9378
71022 118.58 1 231847.1 +091401 11.33 7662 7817
71027 131.83 1 231843.5 -030020 0.00 8971 9183
71028 117.49 1 231852.6 -101534 0.00 9257 9483
71030 43.65 1 231848.5 +163736 0.00 2254 2268
71031 31.05 1 231854.8 -421420 8.48 1268 1272
71032 106.66 1 231855.7 -204202 12.35 7452 7598
71034 44.67 2 231852.6 +065238 0.00 3835 3874
71039 73.79 1 231853.8 -010337 0.00 8415 8602
71044 93.76 1 231902.7 -224254 10.67 5811 5900
71047 36.14 2 231904.8 -082906 7.77 1875 1884
71049 60.53 2 231911.0 +104808 11.71 3454 3486
71051 47.86 2 231911.6 +080633 10.87 3811 3850
71052 31.48 2 231910.7 +074213 0.00 3408 3439
71055 45.08 2 231915.3 +082100 10.84 3160 3187
71063 145.21 1 231919.0 +005645 11.27 9934 10194
71064 80.54 1 231919.8 -285635 0.00 8227 8405
71066 16.83 2 231921.0 -421523 8.55 1446 1452
71067 88.31 1 231921.6 -672828 0.00 6430 6539
71069 59.98 1 231921.8 +163401 0.00 2560 2578
71078 103.28 1 231930.5 +160428 10.86 6870 6994
71087 44.46 2 231941.4 +101105 11.62 3187 3214
71089 46.34 1 231944.2 +083434 9.55 2869 2891
71093 93.76 1 231952.1 +011304 0.00 8701 8901
71097 50.12 1 231954.5 +082357 11.68 2671 2690
71102 48.53 2 232002.8 +155709 10.73 4016 4058
71118 57.81 1 232011.5 -015124 11.03 3266 3294
71119 80.17 1 232012.6 +253547 0.00 5707 5793
71121 54.95 2 232014.5 +081222 8.09 3392 3423
71124 128.82 1 232019.7 +352929 0.00 7720 7877
71126 48.53 1 232022.6 +271855 9.96 3924 3965
71131 125.31 1 232029.1 -010009 0.00 9022 9236
71132 52.72 1 232030.0 +082344 9.55 3309 3338
71140 46.56 2 232042.5 +081301 8.11 3031 3056
71149 110.66 1 232052.8 +234826 10.67 5658 5743
71154 77.27 1 232101.7 +075453 0.00 3420 3451
71155 36.81 2 232101.6 +081046 0.00 3846 3886
71159 26.30 1 232105.8 +080608 0.00 3502 3535
71162 71.12 1 232107.1 +025301 0.00 3571 3605
71166 63.39 2 232109.8 +332358 11.38 4569 4624
71171 39.08 2 232117.0 +072851 0.00 3627 3662
71181 53.46 2 232126.7 +081303 10.01 3397 3428
71182 137.40 1 232124.8 -005908 0.00 9044 9259
71184 50.35 1 232133.4 +270705 0.00 5624 5708
71186 71.45 1 232140.9 -480056 0.00 8314 8497
71189 140.60 1 232140.0 -391203 0.00 10281 10560
71197 34.51 1 232141.0 +085924 0.00 3241 3268
71201 28.71 1 232146.3 +092030 0.00 3155 3181
71204 43.85 1 232151.6 +050021 0.00 4738 4797
71220 8.83 3 232206.6 +405043 9.07 62 62
71221 130.02 1 232204.5 +130208 11.38 7507 7656
71226 151.36 1 232211.6 -423544 0.00 10218 10492
71234 109.14 1 232228.6 +291051 10.49 5599 5682
71238 83.18 3 232235.3 -130539 10.64 6698 6816
71241 141.91 1 232230.9 +115333 10.16 7504 7652
71244 80.17 1 232234.0 +050712 0.00 4566 4621
71257 115.88 1 232244.9 +231240 11.72 8177 8353
71258 86.30 1 232245.8 +290816 10.61 5441 5519
71260 40.36 2 232247.4 +114621 0.00 3492 3524
71261 53.21 1 232250.4 +115919 10.13 3501 3533
71262 48.08 2 232258.4 +085937 0.00 3371 3401
71263 174.58 1 232247.5 +225612 11.34 12044 12425
71287 168.27 1 232311.7 +145404 0.00 10757 11061
71288 68.23 1 232322.5 +131909 11.43 3573 3607
71292 152.76 1 232321.9 +244503 11.07 9413 9646
71309 30.62 1 232340.7 -422407 0.00 1448 1453
71317 189.67 1 232348.2 +164607 0.00 13731 14225
71319 187.07 1 232350.8 +165349 0.00 11778 12142
71322 188.80 1 232354.5 +164049 0.00 13221 13679
71323 185.35 1 232351.5 +163841 0.00 10097 10365
71325 187.07 1 232357.6 +164635 10.30 11976 12353
71330 188.80 1 232359.1 +165227 0.00 13054 13501
71331 187.93 1 232359.1 +164840 11.71 12384 12787
71339 119.12 1 232410.4 +131837 0.00 9283 9510
71340 169.04 1 232405.3 +163943 0.00 12019 12398
71343 169.04 1 232420.0 +143849 10.34 12114 12499
71344 169.82 1 232416.5 +135759 11.72 12721 13146
71345 17.14 1 232423.1 -000628 0.00 2328 2343
71353 169.82 1 232426.0 +135820 10.34 12355 12756
71354 65.77 1 232434.0 +235911 0.00 4720 4779
71356 170.61 1 232432.1 +143822 0.00 13031 13476
71380 119.12 1 232501.1 -185132 0.00 7333 7475
71382 100.93 1 232501.7 +081556 11.16 9858 10113
71389 59.43 1 232519.1 +135516 11.35 3528 3561
71396 59.16 1 232524.2 +324040 0.00 4639 4696
71402 119.67 1 232537.6 -575315 0.00 10028 10292
71404 153.46 1 232540.6 +064533 0.00 9516 9754
71410 97.27 1 232545.9 -263351 0.00 8104 8278
71420 156.31 1 232602.6 +131206 10.86 12099 12483
71427 105.68 1 232616.5 -015827 0.00 12544 12957
71430 40.36 2 232620.0 -175722 12.01 2536 2553
71431 2.21 2 232627.9 -322318 11.00 -223 -223
71446 60.53 1 232635.3 +325046 0.00 4940 5004
71448 37.33 1 232638.3 +114432 0.00 3399 3430
71450 49.20 1 232639.8 +250448 9.75 3123 3149
71454 140.60 1 232646.8 +263610 0.00 5363 5439
71461 77.98 1 232654.0 +084703 0.00 5738 5825
71471 78.70 1 232710.3 +150101 0.00 3728 3765
71485 47.42 1 232731.4 +122306 11.10 3660 3696
71495 124.74 1 232742.8 +143241 0.00 8940 9151
71508 167.49 1 232801.1 +075132 0.00 11023 11342
71513 85.90 1 232801.0 +320945 11.09 4848 4910
71517 48.75 1 232806.2 +233153 10.36 3218 3246
71529 43.85 2 232819.2 +073725 0.00 3154 3180
71534 44.46 1 232827.9 +222515 9.32 3131 3157
71538 1.21 3 232836.2 +144434 9.90 -550 -549
71554 57.28 1 232846.7 +033040 10.09 4775 4835
71564 38.37 1 232901.7 -594300 0.00 3221 3248
71569 98.63 1 232907.1 +294629 10.36 4966 5031
71578 38.02 1 232922.1 +032323 0.00 4306 4355
71579 219.79 1 232917.8 -345930 0.00 15942 16607
71581 114.29 1 232935.2 -284952 11.24 6992 7121
71587 84.33 1 232955.0 +323858 10.92 4881 4944
71597 129.42 2 233001.2 +270511 11.00 8834 9039
71602 75.51 1 233007.0 +401329 0.00 5148 5218
71603 38.37 1 233006.7 -592753 0.00 2956 2980
71607 84.33 1 233013.6 +154539 10.49 3846 3886
71629 65.16 1 233036.1 -030224 0.00 4910 4974
71634 60.26 1 233053.5 -025604 0.00 4803 4864
71636 35.32 2 233054.6 +201502 0.00 2336 2351
71640 90.36 1 233100.0 -273130 0.00 7940 8107
71647 141.91 1 233104.4 -361831 0.00 10483 10772
71657 42.27 1 233127.7 +291118 0.00 5149 5219
71659 44.87 1 233128.9 +322854 11.60 4845 4907
71688 64.27 2 233202.5 +322520 11.36 4765 4825
71702 107.65 1 233231.4 -240019 12.06 7835 7997
71711 139.32 1 233232.1 -014425 0.00 9882 10139
71721 81.28 1 233312.0 +253912 0.00 6721 6840
71723 53.95 1 233308.0 +161222 0.00 4806 4867
71728 14.32 1 233315.9 -024210 11.35 1916 1926
71729 23.66 2 233316.7 -540540 9.34 1793 1801
71730 37.15 3 233316.4 -450058 8.43 2911 2933
71731 79.80 1 233309.6 +211414 11.57 5451 5529
71733 34.51 1 233326.0 +253900 0.00 3372 3402
71740 81.66 1 233324.8 +210748 10.83 5397 5474
71746 79.43 1 233333.2 +153306 0.00 6273 6377
71752 52.24 1 233344.4 -030450 0.00 4864 4927
71753 38.90 2 233349.3 +300336 10.63 3472 3504
71754 52.72 2 233350.8 +451028 0.00 4519 4573
71764 83.18 1 233352.5 -011959 0.00 9953 10213
71779 51.29 1 233431.5 -025115 0.00 4882 4945
71780 60.53 1 233435.5 +150926 0.00 3838 3877
71784 42.46 2 233436.4 -043202 10.09 1852 1861
71785 23.88 1 233438.3 +231327 0.00 2677 2696
71786 63.10 1 233440.1 -030910 11.55 4801 4862
71794 131.22 1 233441.4 -590335 0.00 12090 12474
71795 151.36 2 233449.3 +261839 0.00 8615 8810
71802 135.52 1 233453.5 +171750 11.68 6348 6454
71804 25.70 2 233454.6 +180416 0.00 1117 1120
71819 85.11 1 233517.6 +125526 11.25 5790 5878
71826 79.80 1 233526.1 +071919 11.54 4861 4923
71829 40.36 1 233528.9 -560044 0.00 3060 3084
71838 39.45 2 233543.0 +201720 11.34 1835 1844
71839 63.10 2 233543.5 +322306 0.00 4638 4694
71866 9.33 2 233615.0 -375619 9.19 431 431
71880 128.82 2 233625.7 +275607 0.00 8511 8702
71881 28.84 2 233626.6 -384702 0.00 1311 1315
71889 30.06 2 233636.2 -215141 0.00 1227 1231
71890 45.08 1 233637.1 +140926 0.00 3603 3637
71895 34.99 2 233641.3 +173056 0.00 2247 2261
71896 57.81 1 233645.1 -050217 0.00 6422 6531
71923 156.31 1 233720.1 +265240 11.45 8155 8331
71924 130.02 1 233720.2 -220944 0.00 9027 9242
71926 24.89 1 233724.0 +002330 0.00 2315 2329
71927 101.39 1 233725.9 +270417 0.00 9618 9861
71931 115.35 1 233731.2 -193714 0.00 9015 9230
71948 45.92 2 233749.5 -474338 8.66 2626 2645
71952 178.65 1 233749.0 -371335 0.00 15738 16386
71956 139.32 1 233743.3 -003105 0.00 10387 10670
71969 64.57 1 233813.1 +322006 11.51 4473 4526
71972 86.30 1 233814.6 +074829 11.53 4892 4956
71973 12.13 1 233814.3 +304229 0.00 -43 -43
71976 119.12 1 233822.8 +270929 11.38 8904 9113
71977 153.46 1 233818.5 +265312 11.36 8950 9161
71981 128.23 1 233826.8 +265906 11.36 10434 10720
71982 68.87 1 233826.8 +044802 11.55 5798 5887
71984 130.02 1 233838.9 +270040 11.42 8909 9118
71985 124.17 1 233829.5 +270154 9.43 8684 8882
71987 128.82 1 233829.2 +265843 11.19 9160 9381
71988 76.56 1 233828.6 +264906 11.36 9181 9403
71991 147.91 1 233836.3 +270146 11.50 8148 8323
71999 116.95 1 233850.6 +271603 10.44 8926 9136
72001 20.14 2 233848.4 -063104 8.86 1658 1665
72006 26.67 1 233848.7 -054448 0.00 1683 1690
72009 30.62 2 233857.1 -125740 8.39 1514 1520
72010 140.60 1 233844.0 -012819 0.00 16031 16702
72013 74.13 1 233904.0 -204858 0.00 4777 4838
72020 72.44 1 233911.2 +052904 11.54 5292 5366
72024 101.86 2 233911.9 +270655 11.09 7265 7404
72030 115.35 1 233926.0 +091227 11.26 8560 8753
72038 45.50 1 233927.0 -474629 10.82 3061 3086
72050 136.77 1 233941.3 -000204 0.00 6614 6730
72056 119.67 1 233949.4 +272234 10.94 9577 9818
72060 21.09 1 233953.8 -121734 0.00 1509 1516
72061 157.04 1 233958.6 +265003 11.15 8345 8529
72064 115.35 1 234000.9 +270800 9.53 9053 9269
72071 118.58 1 234019.0 +273341 10.56 8324 8507
72086 141.25 1 234038.9 +202628 10.72 6421 6530
72087 14.79 1 234039.8 +261410 0.00 399 400
72089 120.78 1 234046.8 +265007 10.58 11359 11698
72092 84.33 1 234045.3 -244137 0.00 6513 6625
72098 113.76 1 234054.4 -282017 11.46 8019 8188
72099 119.67 1 234054.2 +273034 11.02 9627 9871
72101 93.33 1 234102.1 -081318 0.00 9884 10141
72106 236.59 1 234106.2 +251013 11.47 11527 11876
72117 67.30 1 234119.5 +040103 10.05 5908 6000
72131 34.20 1 234133.9 +034329 0.00 2539 2556
72133 80.54 1 234137.1 -033354 0.00 6150 6250
72141 86.70 1 234150.9 -280129 0.00 8111 8284
72165 119.12 1 234217.3 +261354 9.99 9247 9472
72169 112.20 2 234223.1 +271954 11.45 7064 7196
72173 56.49 1 234225.8 -192708 0.00 4142 4187
72177 128.82 1 234232.9 -655723 11.21 10063 10329
72188 107.15 1 234246.7 +271749 10.58 7095 7228
72190 103.75 1 234255.0 +144517 0.00 6664 6781
72192 100.93 1 234256.2 -033901 0.00 6463 6573
72207 97.27 1 234317.0 -723415 0.00 8606 8801
72225 187.07 1 234340.2 -363210 0.00 12279 12675
72228 4.37 1 234345.1 -315733 11.40 -16 -16
72229 112.72 1 234346.8 -530240 0.00 9804 10057
72231 165.96 1 234347.5 -364249 11.49 12256 12650
72233 144.54 2 234349.7 +282021 10.52 8452 8640
72237 13.68 2 234354.4 +260431 9.96 403 403
72252 22.08 2 234410.5 -061011 12.33 1756 1765
72257 177.83 1 234424.6 +090951 11.61 10375 10658
72263 20.32 1 234421.3 +095602 8.55 1337 1342
72268 177.01 1 234430.4 +091550 11.05 11903 12275
72269 109.14 1 234427.6 +053949 11.30 11203 11533
72274 49.43 1 234432.1 +215632 0.00 5035 5102
72286 182.81 1 234439.5 -234842 0.00 14430 14975
72297 179.47 1 234457.4 +091132 11.13 11784 12149
72319 77.62 1 234520.0 -014106 0.00 6503 6615
72325 32.81 1 234519.2 -011624 0.00 1718 1726
72327 174.58 1 234531.3 -205850 11.35 9796 10049
72328 111.69 1 234532.3 +272137 10.20 7356 7499
72338 145.88 1 234547.6 -293104 0.00 10085 10353
72345 46.13 1 234555.0 +120342 10.37 3900 3941
72355 101.86 3 234615.1 -280556 10.71 8102 8275
72358 80.17 1 234622.7 -280022 0.00 7588 7740
72366 202.30 1 234636.7 -353118 0.00 12288 12684
72367 25.23 2 234637.8 +034759 10.19 2561 2578
72390 188.80 1 234707.1 -355018 0.00 12346 12747
72392 82.41 1 234716.7 -151823 11.46 7005 7134
72393 87.10 1 234712.1 -275548 0.00 8492 8682
72396 103.28 1 234714.7 -275727 10.80 8130 8304
72397 58.34 1 234715.3 +324657 11.48 4528 4582
72399 124.74 1 234708.5 -003639 0.00 10851 11160
72403 100.46 1 234716.9 -280726 0.00 8656 8854
72411 106.17 2 234724.5 +282336 11.26 8692 8892
72416 128.23 1 234728.3 -280809 10.54 8089 8262
72421 120.78 1 234728.6 -280634 10.10 7932 8098
72423 110.15 1 234731.8 -280625 11.65 8189 8366
72436 121.90 1 234743.4 -281020 0.00 8010 8179
72437 130.02 1 234743.2 -280838 0.00 7837 7999
72438 121.90 2 234743.2 +272537 11.27 8951 9162
72441 116.95 2 234745.1 -280828 9.96 8352 8535
72443 20.70 1 234748.7 -570421 0.00 1739 1747
72444 25.00 1 234751.8 -303119 0.00 2670 2688
72445 135.52 1 234752.5 -532157 0.00 9676 9923
72447 154.88 1 234747.1 -280805 0.00 7918 8083
72461 49.66 1 234811.4 -022558 0.00 6396 6504
72464 137.40 1 234819.1 -281044 0.00 10281 10559
72466 134.28 2 234820.6 -281355 10.64 7646 7800
72469 118.58 1 234821.1 -280658 11.22 8597 8791
72470 115.35 1 234818.1 +022032 11.62 8554 8747
72471 134.28 1 234823.3 -280429 10.86 9941 10202
72473 108.14 1 234825.8 -281121 0.00 8656 8853
72476 112.20 2 234826.2 -281643 0.00 7909 8074
72489 99.08 1 234845.1 +155543 0.00 7488 7636
72503 68.55 1 234900.6 -194134 11.73 5453 5532
72506 125.89 2 234901.5 +264717 11.14 11186 11515
72532 175.39 1 234935.2 -182606 0.00 11311 11647
72535 65.77 1 234939.9 +295554 10.31 4940 5004
72539 38.19 1 234947.6 +300220 11.70 4795 4856
72549 71.45 1 234953.7 +024215 0.00 4969 5034
72574 162.18 1 235025.5 -593045 0.00 7851 8013
72591 146.55 1 235048.1 +153903 0.00 10013 10277
72596 90.78 1 235052.2 +270958 0.00 7211 7349
72599 190.55 2 235100.1 +354655 0.00 12022 12402
72603 168.27 1 235047.0 -021118 0.00 13580 14063
72605 120.23 2 235058.6 +270850 9.47 7868 8032
72607 109.14 1 235100.0 +271308 11.62 7130 7264
72608 91.62 1 235101.1 +271527 0.00 8291 8472
72609 91.62 1 235100.7 +271719 0.00 8710 8910
72618 95.06 1 235106.2 +010323 10.78 7745 7904
72632 89.54 2 235120.8 +490442 11.60 5522 5603
72633 128.82 2 235120.6 +243928 0.00 9610 9854
72640 91.20 1 235130.0 +271410 11.54 8061 8232
72641 53.95 1 235128.9 -132254 0.00 6847 6970
72648 101.39 1 235136.7 -282154 9.90 7980 8148
72657 111.17 1 235150.4 -275754 11.70 8521 8712
72659 64.86 1 235150.7 +030457 0.00 4957 5022
72661 141.91 1 235152.5 +291543 11.60 8933 9143
72665 116.41 1 235158.9 +272014 0.00 7783 7943
72669 126.47 1 235154.4 -275547 10.83 8558 8751
72675 7.01 1 235202.9 -523438 12.60 404 405
72680 55.21 1 235211.1 +082341 0.00 5199 5270
72683 44.87 1 235210.7 -623418 0.00 4313 4362
72684 84.33 2 235210.2 -290445 10.51 8481 8671
72688 139.32 1 235216.2 -292651 11.50 8730 8931
72693 77.27 1 235222.1 -301349 0.00 8354 8538
72694 111.69 1 235224.2 -290122 10.97 8376 8561
72698 147.91 1 235227.3 -182525 0.00 10896 11208
72734 105.68 1 235320.8 +860139 0.00 5766 5854
72740 288.40 1 235313.4 +105340 0.00 21098 22255
72751 100.93 1 235318.4 +274219 11.68 7609 7762
72753 172.19 1 235317.6 -181243 0.00 10933 11247
72759 95.06 1 235349.8 +105640 11.02 4935 4999
72763 137.40 1 235326.2 -404857 0.00 8587 8782
72773 92.90 1 235329.4 +111903 11.10 6019 6115
72775 66.37 2 235332.1 +080704 10.81 4859 4922
72777 83.18 1 235331.0 -004425 0.00 6584 6699
72784 134.90 2 235348.0 +272506 0.00 7625 7778
72788 87.90 1 235354.0 +075813 9.23 5031 5098
72807 124.74 1 235411.7 -174850 0.00 10849 11159
72834 193.20 1 235435.9 -273403 0.00 14697 15263
72835 63.97 1 235435.1 -143149 0.00 5172 5243
72841 105.20 1 235443.3 -254034 0.00 8784 8988
72859 84.72 1 235513.7 -034447 0.00 6118 6217
72860 49.89 1 235514.6 -234956 12.25 3612 3647
72863 148.59 1 235516.1 +142231 11.66 10418 10704
72864 136.14 1 235516.2 -012524 0.00 9175 9396
72882 16.44 1 235530.2 +175510 0.00 1415 1420
72888 132.43 1 235539.4 +193056 0.00 7538 7688
72891 139.96 1 235543.8 -340931 0.00 14901 15482
72892 42.66 1 235541.9 +315358 0.00 4546 4601
72905 127.06 1 235549.7 -295211 0.00 8225 8403
72907 67.30 1 235555.3 -604054 11.54 4065 4109
72919 177.83 1 235602.0 +073123 11.50 11455 11800
72926 99.54 1 235606.1 +292239 0.00 6595 6710
72930 83.18 1 235607.9 +003257 11.23 6321 6427
72939 133.66 1 235616.6 +292319 0.00 8720 8920
72942 68.87 1 235618.8 -001820 0.00 6983 7112
72948 156.31 1 235626.6 -110510 0.00 12777 13205
72950 149.28 1 235625.1 -290124 0.00 8534 8726
72956 126.47 1 235622.3 -350349 0.00 14550 15105
72957 48.08 2 235628.8 -813403 0.00 1933 1943
72968 117.49 2 235634.4 +271202 0.00 7564 7715
72972 129.42 1 235637.3 +270615 10.97 7543 7693
72973 128.82 1 235642.0 +134634 11.50 10498 10788
72981 134.90 1 235646.2 -023849 0.00 9017 9231
72983 29.11 2 235647.4 +012115 10.77 2094 2105
72995 82.79 1 235651.5 +053030 0.00 5040 5107
72996 62.52 1 235658.0 +104927 11.09 4873 4936
73004 175.39 1 235704.6 +334129 0.00 10208 10483
73017 124.74 1 235712.7 -183735 0.00 9521 9760
73021 179.47 1 235719.0 +083032 0.00 10883 11195
73023 47.42 1 235724.0 +305931 0.00 4366 4417
73027 120.78 3 235728.6 -290251 10.25 8570 8764
73043 119.67 1 235740.0 -213446 0.00 9769 10020
73049 3.60 4 235749.8 -323527 7.24 -52 -52
73053 125.31 1 235753.1 +222121 0.00 7732 7890
73079 114.82 1 235812.6 +282751 0.00 8166 8342
73083 130.02 1 235817.3 -300641 11.82 8743 8944
73098 146.55 1 235831.9 -184250 0.00 9879 10136
73102 106.66 1 235830.5 +095821 0.00 6050 6147
73123 106.17 1 235857.2 -021458 11.57 7287 7427
73126 48.75 3 235859.8 -552730 8.36 3175 3201
73148 78.34 1 235913.7 +255631 0.00 6670 6788
73150 43.85 1 235915.8 +465321 0.00 4750 4809
73151 77.98 1 235910.7 -040737 10.01 5390 5467
73153 153.46 1 235919.3 -314348 0.00 8118 8292
73154 58.34 1 235919.5 +044538 10.61 3502 3535
73156 76.21 1 235920.2 +311706 0.00 4674 4731
73171 128.82 1 235930.6 +181212 0.00 6275 6379
73177 21.48 1 235936.8 +144825 0.00 1392 1397
73199 134.90 1 000003.5 +260049 0.00 10063 10329
73243 172.19 1 000622.4 -501002 0.00 10462 10750
73275 130.02 1 001127.8 +274725 0.00 7065 7197
73360 258.23 1 001942.6 -414840 0.00 15782 16433
73385 124.17 1 003915.7 +064117 11.62 11249 11582
73393 141.25 1 003933.4 +064853 10.86 11586 11939
73395 139.32 1 003936.1 +063951 0.00 11305 11641
73454 220.80 1 005442.1 -012921 12.15 11525 11874
73466 151.36 1 005521.4 -012108 0.00 12103 12487
73471 250.03 1 005538.2 -013447 0.00 14366 14907
73474 152.05 1 005540.7 -011843 0.00 12785 13214
73486 152.05 1 005602.7 -012003 11.33 12503 12913
73507 166.72 1 005629.2 -011332 0.00 11183 11512
73522 207.01 1 005646.6 -013547 12.45 13227 13686
73533 171.40 1 005709.7 -012249 0.00 11723 12084
73540 178.65 1 005741.6 -011844 0.00 13826 14327
73560 104.23 1 010424.9 -463008 0.00 8989 9202
73598 138.04 1 010707.3 -470319 0.00 6513 6625
73610 133.66 1 010724.5 -465935 0.00 9332 9561
73628 92.90 1 010805.0 -455118 0.00 7096 7229
73642 257.04 1 010830.6 -145705 0.00 15031 15622
73647 185.35 1 010839.8 -152952 0.00 16014 16685
73648 163.68 1 010840.1 -155117 0.00 12018 12397
73679 106.17 2 010920.5 -454056 0.00 7018 7148
73680 95.06 1 010922.8 -463943 0.00 6569 6682
73684 80.17 1 010935.5 -460315 0.00 8316 8498
73688 120.78 1 010937.8 -455351 11.19 6423 6532
73695 83.56 1 010947.2 -455240 0.00 6659 6776
73697 114.82 1 010949.8 -461224 0.00 7201 7338
73709 213.80 1 011005.0 -153352 0.00 14841 15418
73710 109.65 1 011006.6 -455554 0.00 7113 7246
73717 99.54 1 011019.9 -455118 11.73 6874 6999
73725 98.17 1 011033.5 -454739 11.15 8217 8395
73732 248.89 1 011041.7 -154605 0.00 15580 16215
73734 149.28 1 011047.3 -454523 11.63 6905 7031
73736 105.20 1 011047.7 -454701 0.00 7292 7433
73758 102.80 1 011104.6 -455844 0.00 7628 7782
73780 151.36 1 011136.3 -151252 0.00 12626 13044
73793 94.19 1 011152.5 -454902 0.00 6339 6445
73816 190.55 1 011336.6 +002424 0.00 13663 14152
73821 124.74 1 011358.8 -452447 0.00 9216 9440
73825 201.37 1 011421.6 +001046 0.00 12974 13415
73837 199.53 1 011443.8 +001709 0.00 13238 13698
73886 186.21 1 011544.7 +001956 0.00 13059 13506
73887 183.65 1 011544.9 +001400 0.00 12990 13433
73891 172.98 1 011551.4 +000848 0.00 11496 11843
73898 202.30 1 011612.8 -000628 0.00 13722 14215
73914 177.83 1 011752.7 -355810 0.00 14858 15436
73953 50.35 1 012523.7 -011141 0.00 4985 5051
73958 59.70 1 012552.5 -011559 0.00 5992 6087
73965 70.15 1 012631.5 -013429 0.00 5277 5350
74050 69.18 1 015815.8 +362053 0.00 4512 4566
74111 174.58 1 024504.0 +364236 0.00 14639 15201
74118 173.78 1 024512.5 +364244 0.00 13799 14298
74120 174.58 1 024513.8 +364142 0.00 14810 15384
74141 173.78 1 024543.8 +365117 0.00 13926 14435
74145 172.98 1 024548.2 +365113 0.00 13461 13937
74191 174.58 1 024649.9 +365844 0.00 14625 15185
74219 107.15 1 024933.0 -311156 11.70 7372 7515
74222 105.68 1 024939.3 -311216 0.00 7745 7903
74236 93.33 1 025514.8 +061039 10.75 7383 7527
74240 63.10 1 025612.7 +060648 0.00 7616 7769
74247 174.58 1 025644.7 +054120 0.00 10962 11278
74256 67.30 1 025741.7 +064746 0.00 5997 6092
74257 122.46 1 025742.1 +052556 11.58 7378 7522
74269 107.15 1 025837.8 +061032 11.41 7134 7268
74270 72.78 1 025844.6 +062522 0.00 8143 8318
74271 91.20 1 025845.8 +051857 0.00 8060 8232
