#"Cosmicflows-3 Distances" "Cosmicflows-3 Distances" "Cosmicflows-3 Distances" "Cosmicflows-3 Distances" "Cosmicflows-3 Distances" "Cosmicflows-3 Distances" "Cosmicflows-3 Distances"
#pgc Dist Nd RAJ DeJ Ks Vcmb Vmod
#%7s %6.2f %1d %8s %9s %5.2f %5d %5d
#--- Mpc  hms damas mag km/s km/s
#"The Catalogue of Principal Galaxies (PGC) Number" "Luminosity distance (weighted average if more than one source)" "Number of distance sources" "Right Ascension (J2000)" "Declination (J2000)" "2MASS Ks magnitude, extinction corrected from Huchra et al. 2012 or else Lavaux-Hudson 2011" "Velocity in CMB standard of rest (Fixsen et al. 1996)" "Velocity in CMB standard of rest adjusted in accordance with a cosmological model with Omega_matter=0.27 and Omega_Lambda=0.73"
937 73.79 1 001412.8 +072440 0.00 5480 5560
944 111.69 1 001418.6 -065901 0.00 8266 8447
963 49.43 3 001431.9 -004415 11.40 3617 3652
978 89.95 1 001440.1 +183455 9.53 5051 5118
982 72.44 1 001442.8 -601942 0.00 4426 4478
983 57.02 1 001444.6 -072043 0.00 5149 5219
1014 1.99 4 001453.6 -391147 6.56 -116 -116
1024 108.14 1 001516.5 -571442 0.00 9650 9895
1034 4.90 1 001525.1 -212640 0.00 49 49
1038 1.96 2 001531.2 -321050 12.50 -239 -239
1047 77.62 1 001544.0 -330150 0.00 7124 7258
1051 46.34 1 001551.1 +160522 10.62 3859 3899
1056 83.56 1 001557.5 +140432 0.00 5120 5189
1089 66.07 1 001628.5 +295526 0.00 4548 4603
1106 58.61 1 001644.2 +070433 9.79 3637 3673
1115 85.51 1 001702.9 -094047 0.00 6324 6430
1123 75.86 1 001705.1 +420940 11.66 4764 4824
1125 65.46 1 001705.4 -132914 0.00 6123 6222
1127 71.12 1 001706.3 -043637 0.00 5728 5815
1130 43.65 1 001710.2 -191805 10.16 2884 2906
1136 96.83 1 001726.7 -093158 0.00 6481 6592
1137 113.24 1 001709.7 -034249 0.00 10613 10909
1139 93.76 1 001719.3 +064323 0.00 5324 5399
1149 108.14 1 001730.4 -064928 10.50 6961 7088
1154 58.61 1 001735.8 +301217 0.00 4516 4570
1158 84.33 1 001741.8 +244002 11.40 5715 5802
1160 18.62 2 001745.5 +112701 9.29 803 805
1165 87.50 1 001759.4 -091620 0.00 6665 6782
1170 77.98 1 001759.8 +243347 11.74 5460 5539
1173 87.50 1 001804.6 -335229 0.00 7144 7279
1196 60.53 1 001825.2 +183058 0.00 4875 4938
1211 88.72 1 001839.0 -151920 0.00 7428 7573
1223 89.13 1 001850.7 -082731 0.00 6416 6525
1228 84.33 1 001855.0 -031634 0.00 5831 5921
1231 58.61 1 001900.6 +232834 0.00 4132 4177
1236 87.90 1 001904.9 -225611 10.65 7299 7439
1241 116.41 1 001909.4 -243122 12.22 9550 9790
1274 89.13 1 001947.5 -511510 0.00 6325 6430
1288 44.46 2 002000.1 -062001 11.37 3364 3394
1291 221.82 1 002002.8 -040306 0.00 11602 11956
1292 18.37 1 002005.1 +105245 0.00 790 791
1293 96.38 1 001957.5 +150531 0.00 7272 7412
1295 134.28 1 002006.2 -543123 11.87 8784 8988
1301 67.61 1 002020.1 +074201 0.00 5379 5456
1305 0.74 3 002023.1 +591735 6.50 -563 -562
1308 123.59 1 002028.1 -495632 0.00 9804 10057
1315 56.49 1 002034.2 +472603 0.00 4867 4929
1326 75.16 1 002041.9 -042559 0.00 5899 5991
1339 48.98 1 002051.8 +213211 11.06 5561 5643
1340 83.56 1 002102.8 +223359 10.38 5144 5214
1351 76.21 1 002110.9 +222126 9.06 5394 5471
1362 70.15 1 002117.5 +230527 11.70 5399 5476
1371 83.18 1 002122.5 +222600 9.35 5885 5976
1372 56.75 1 002120.2 +172027 0.00 4941 5006
1375 56.23 1 002125.6 +223042 11.04 5852 5943
1382 89.13 1 002129.0 +223021 11.12 5471 5550
1384 106.66 1 002133.5 +223531 11.11 6292 6397
1387 95.94 1 002131.1 +293943 0.00 6701 6820
1407 63.39 1 002155.2 +220023 11.25 5406 5484
1413 71.45 1 002205.1 +234413 0.00 4153 4199
1426 59.70 1 002213.5 +102929 9.52 5031 5098
1439 91.20 1 002226.4 +293014 10.74 6762 6883
1451 66.68 1 002233.9 -082911 0.00 5352 5427
1461 113.24 1 002249.9 +064902 11.56 7197 7334
1462 110.66 1 002250.0 +240908 0.00 12194 12585
1470 86.30 1 002253.0 -143204 0.00 6192 6293
1472 211.84 1 002257.4 +251244 0.00 11850 12219
